id,date,0.0
23928960,2014-12-14,0.9684
24129443,2014-12-20,0.9098
24154723,2014-12-21,0.8906
24315793,2014-12-25,0.9918
24378037,2014-12-27,0.9845
24992620,2015-01-04,0.6526
25452104,2015-01-16,0.9336
26256557,2015-02-08,0.8805
26638266,2015-02-16,0.9097
27025987,2015-02-23,0.9628
29375022,2015-04-06,0.0516
29868670,2015-04-13,0.8625
32799452,2015-05-21,0.807
33486892,2015-05-28,0.968
34218298,2015-06-06,0.7233
34370441,2015-06-07,0.9374
34605721,2015-06-09,0.9537
35158261,2015-06-15,0.8803
35994086,2015-06-23,0.9623
36958659,2015-07-03,0.9382
37122119,2015-07-04,0.8519
37437691,2015-07-06,0.9168
39252854,2015-07-21,0.9622
41152687,2015-08-04,0.965
41714982,2015-08-08,0.9714
42101104,2015-08-10,0.9653
42986613,2015-08-16,0.9715
45647234,2015-09-04,0.8343
47333802,2015-09-17,0.4019
47861437,2015-09-21,0.8674
47947362,2015-09-21,0.936
48800594,2015-09-28,0.9728
49139574,2015-10-01,0.8092
51181227,2015-10-18,0.9467
51669439,2015-10-22,0.0
51964574,2015-10-25,0.8803
52555606,2015-10-30,0.9468
53357128,2015-11-08,0.9776
54417801,2015-11-19,0.9319
54942552,2015-11-25,0.8979
55127248,2015-11-28,0.9778
57982607,2015-12-30,0.9875
58658303,2016-01-03,0.9447
59270317,2016-01-08,0.944
60109076,2016-01-18,0.9807
61350675,2016-02-02,0.9168
64344418,2016-03-02,0.8992
64906175,2016-03-09,0.9778
65854775,2016-03-17,0.7778
67089326,2016-03-26,-0.5574
68929205,2016-04-07,0.9577
16965937,2014-08-04,0.8763
18456344,2014-08-26,0.902
19507519,2014-09-13,0.0
20296833,2014-09-27,0.6122
21876307,2014-10-26,0.9925
22087809,2014-10-29,0.91
22837249,2014-11-16,0.9945
23907859,2014-12-14,0.96
27193787,2015-02-27,0.0
27626247,2015-03-08,0.9843
29337071,2015-04-06,0.9614
34309075,2015-06-07,0.802
34440669,2015-06-08,0.0
37212376,2015-07-05,0.906
44956781,2015-08-30,0.0
45054010,2015-08-31,-0.9385
48538972,2015-09-27,0.5574
49507022,2015-10-04,-0.6944
59976060,2016-01-17,0.967
63211771,2016-02-21,0.923
64970776,2016-03-09,0.9278
65027826,2016-03-10,0.978
65353555,2016-03-13,0.4754
66923986,2016-03-25,0.8514
30266574,2015-04-19,0.908
30430298,2015-04-21,0.9371
30651799,2015-04-25,0.9584
30835060,2015-04-27,0.9766
31148728,2015-05-02,0.9784
31364933,2015-05-04,0.9699
31674548,2015-05-08,0.9848
31747297,2015-05-09,0.9682
31983383,2015-05-12,0.2617
32302612,2015-05-16,0.4019
32488722,2015-05-19,0.0
32583205,2015-05-19,0.9393
32713866,2015-05-20,0.9571
33267460,2015-05-26,0.9887
33723167,2015-05-31,0.9022
33934789,2015-06-02,0.8683
34181915,2015-06-05,0.9864
34265544,2015-06-06,0.9841
35279847,2015-06-16,0.9871
35410279,2015-06-18,0.9634
35621658,2015-06-20,0.9719
35717241,2015-06-21,0.9438
36815865,2015-07-01,0.983
37097585,2015-07-04,0.974
37496274,2015-07-07,0.9595
37815306,2015-07-10,0.9685
38182962,2015-07-13,0.7639
38634287,2015-07-17,0.9721
38793352,2015-07-18,0.8819
39192571,2015-07-21,0.9728
39379762,2015-07-23,0.5106
39583769,2015-07-24,0.9293
39720139,2015-07-25,0.9772
39847843,2015-07-26,0.9557
40368477,2015-07-30,0.9676
40507478,2015-07-31,0.8476
40635563,2015-08-01,0.9344
40821399,2015-08-02,0.8934
41702324,2015-08-08,0.6486
41981908,2015-08-10,0.9852
42215756,2015-08-11,0.9606
42484191,2015-08-13,0.8766
42754391,2015-08-15,0.8622
43400256,2015-08-19,0.8625
43706358,2015-08-21,0.9755
44322627,2015-08-25,0.9011
44596292,2015-08-27,0.9844
45040048,2015-08-30,0.9576
45645499,2015-09-04,0.9112
45769280,2015-09-06,0.25
46157918,2015-09-08,0.9593
46627930,2015-09-12,0.989
46741383,2015-09-13,0.9184
46919727,2015-09-14,0.9243
47673316,2015-09-21,0.9637
48727564,2015-09-28,0.8999
48970084,2015-09-29,0.9755
49084035,2015-09-30,0.9806
49346021,2015-10-03,0.7506
49609132,2015-10-05,0.9492
50149796,2015-10-09,0.9673
50730451,2015-10-13,0.9538
51862850,2015-10-24,0.9837
52267136,2015-10-27,0.9842
53262476,2015-11-07,0.9515
53431784,2015-11-08,0.9831
55007886,2015-11-27,0.9557
56497467,2015-12-14,0.9558
56682116,2015-12-16,0.882
57345742,2015-12-24,0.9147
57603350,2015-12-27,0.8991
57720713,2015-12-28,0.9857
58538838,2016-01-03,0.9661
59063683,2016-01-06,0.893
59481999,2016-01-11,0.9605
60086825,2016-01-18,0.9717
60376022,2016-01-22,0.5709
61461869,2016-02-04,0.5994
61803335,2016-02-08,0.915
62048208,2016-02-10,0.7951
62322079,2016-02-13,0.8946
62571807,2016-02-15,0.9886
63311595,2016-02-21,0.9423
64712018,2016-03-06,0.9833
65112445,2016-03-10,0.5719
65294672,2016-03-12,0.2716
65914377,2016-03-18,0.6476
65929308,2016-03-18,0.9643
66510070,2016-03-22,0.7345
66798248,2016-03-24,0.9299
66931532,2016-03-25,0.7688
67289578,2016-03-28,0.8122
67701349,2016-03-30,0.9439
68055412,2016-04-02,0.9393
68417415,2016-04-04,0.9838
69025859,2016-04-08,0.6858
69715020,2016-04-12,0.9583
70015467,2016-04-15,0.9649
34393049,2015-06-07,0.9665
35025073,2015-06-14,0.993
35431718,2015-06-18,0.9948
35626624,2015-06-20,0.7712
35856572,2015-06-22,0.9903
35992406,2015-06-23,0.9821
36250744,2015-06-26,0.988
36332653,2015-06-27,0.9831
36612529,2015-06-29,0.9945
36733724,2015-06-30,0.9661
37198239,2015-07-05,0.9854
37393560,2015-07-06,0.9545
37697867,2015-07-09,0.9567
38515376,2015-07-16,0.9892
39200947,2015-07-21,0.9837
39650869,2015-07-25,0.9253
44787127,2015-08-29,0.9949
45001743,2015-08-30,0.9575
45707119,2015-09-05,0.8746
46034913,2015-09-07,0.9689
46666418,2015-09-12,0.9712
46785001,2015-09-13,0.9848
47339231,2015-09-17,0.9686
47834114,2015-09-21,0.9912
48222410,2015-09-24,0.9748
48571155,2015-09-27,0.9519
49673862,2015-10-05,0.9416
49965246,2015-10-07,0.9815
50451953,2015-10-12,0.9875
50785338,2015-10-14,0.9923
51135103,2015-10-18,0.9649
51449490,2015-10-20,0.9746
51681896,2015-10-22,0.99
51910919,2015-10-25,0.9646
52638614,2015-10-31,0.9569
52723294,2015-11-01,0.9884
53943131,2015-11-14,0.9118
55854476,2015-12-06,0.9518
66644698,2016-03-23,0.5826
